Country,Country_code,Year,Sex,Age_standardised_rate,Data_flag,Source
Czechia,CZ,2017,Males,690.84,,https://ec.europa.eu/eurostat/api/dissemination/statistics/1.0/data/hlth_cd_asdr2
Czechia,CZ,2017,Total,577.29,,https://ec.europa.eu/eurostat/api/dissemination/statistics/1.0/data/hlth_cd_asdr2
Czechia,CZ,2018,Females,471.93,,https://ec.europa.eu/eurostat/api/dissemination/statistics/1.0/data/hlth_cd_asdr2
Czechia,CZ,2018,Males,669.25,,https://ec.europa.eu/eurostat/api/dissemination/statistics/1.0/data/hlth_cd_asdr2
Czechia,CZ,2018,Total,556.77,,https://ec.europa.eu/eurostat/api/dissemination/statistics/1.0/data/hlth_cd_asdr2
Czechia,CZ,2019,Females,448.39,,https://ec.europa.eu/eurostat/api/dissemination/statistics/1.0/data/hlth_cd_asdr2
Czechia,CZ,2019,Males,638.01,,https://ec.europa.eu/eurostat/api/dissemination/statistics/1.0/data/hlth_cd_asdr2
Czechia,CZ,2019,Total,529.55,,https://ec.europa.eu/eurostat/api/dissemination/statistics/1.0/data/hlth_cd_asdr2
Czechia,CZ,2020,Females,469.15,,https://ec.europa.eu/eurostat/api/dissemination/statistics/1.0/data/hlth_cd_asdr2
Czechia,CZ,2020,Males,678.52,,https://ec.europa.eu/eurostat/api/dissemination/statistics/1.0/data/hlth_cd_asdr2
Czechia,CZ,2020,Total,557.77,,https://ec.europa.eu/eurostat/api/dissemination/statistics/1.0/data/hlth_cd_asdr2
Czechia,CZ,2021,Females,437.72,,https://ec.europa.eu/eurostat/api/dissemination/statistics/1.0/data/hlth_cd_asdr2
Czechia,CZ,2021,Males,649.88,,https://ec.europa.eu/eurostat/api/dissemination/statistics/1.0/data/hlth_cd_asdr2
Czechia,CZ,2021,Total,525.62,,https://ec.europa.eu/eurostat/api/dissemination/statistics/1.0/data/hlth_cd_asdr2
Czechia,CZ,2022,Females,427.64,,https://ec.europa.eu/eurostat/api/dissemination/statistics/1.0/data/hlth_cd_asdr2
Czechia,CZ,2022,Males,611.72,,https://ec.europa.eu/eurostat/api/dissemination/statistics/1.0/data/hlth_cd_asdr2
Czechia,CZ,2022,Total,505.5,,https://ec.europa.eu/eurostat/api/dissemination/statistics/1.0/data/hlth_cd_asdr2
Czechia,CZ,2023,Females,384.6,,https://ec.europa.eu/eurostat/api/dissemination/statistics/1.0/data/hlth_cd_asdr2
Czechia,CZ,2023,Males,574.05,,https://ec.europa.eu/eurostat/api/dissemination/statistics/1.0/data/hlth_cd_asdr2
Czechia,CZ,2023,Total,463.75,,https://ec.europa.eu/eurostat/api/dissemination/statistics/1.0/data/hlth_cd_asdr2
Denmark,DK,2015,Females,205.38,,https://ec.europa.eu/eurostat/api/dissemination/statistics/1.0/data/hlth_cd_asdr2
Denmark,DK,2015,Males,317.22,,https://ec.europa.eu/eurostat/api/dissemination/statistics/1.0/data/hlth_cd_asdr2
Denmark,DK,2015,Total,253.2,,https://ec.europa.eu/eurostat/api/dissemination/statistics/1.0/data/hlth_cd_asdr2
Denmark,DK,2016,Females,197.84,,https://ec.europa.eu/eurostat/api/dissemination/statistics/1.0/data/hlth_cd_asdr2
